Field=#~Integer~#~50|Field=Designator~String~Designator~374|Field=Manufacturer Part Number~String~Manufacturer Part Number~160|Field=Manufacturer~String~Manufacturer~224|Field=Manufacturer Part Number 2nd~String~Manufacturer Part Number 2nd~183|Field=Manufacturer 2nd~String~Manufacturer 2nd~172|Field=Description~String~Description~742|Field=Quantity~Integer~Quantity~67|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PRJ_BLEspresso_2022-04_V0X.PrjPcb|ReportField=ProjectFullPath~D:\02_WS\01_Altium_Git\BLEspresso_HW\PRJ_BLEspresso_2022-04_V0X.PrjPcb|ReportField=Title~Bill of Materials For Project [PRJ_BLEspresso_2022-04_V0X.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~96|ReportField=ReportTime~4:57:49 PM|ReportField=ReportDate~7/11/2022|ReportField=ReportDateTime~7/11/2022 4:57:49 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=OutputFile_Date~11-07-22|ReportField=ReviewerAbb~*Param|ReportField=Reviewer~*Param|ReportField=ReleaseDate~*Param|ReportField=ProjectVariant~*Param|ReportField=ProjectStartDate~xx/04/2022|ReportField=ProjectRevisionDate~*Param|ReportField=ProjectRevision~*Param|ReportField=ProjectNumber~*xxxxx|ReportField=ProjectBoardName~*Param|ReportField=Project_VersionDate~xx/04/2022|ReportField=Project_Version~0.1|ReportField=PopulateLabel~*Param|ReportField=OutputFile_Header~BLEsspreso_|ReportField=MainProjectName~*Param|ReportField=HardwareDesignerAbb~*Param|ReportField=HardwareDesigner~FG|ReportField=CompanyAddress4~The Netherlands|ReportField=CompanyAddress3~1081 JK, Amsterdam|ReportField=CompanyAddress2~Amstelveenseweh 732A|ReportField=CompanyAddress1~|ReportField=Company_Name~CADIO|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~7/11/2022|ReportField=CurrentTime~4:56:32 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\02_WS\01_Altium_Git\BLEspresso_HW\PRJ.003.BlockDiagram.SchDoc|ReportField=DocumentName~PRJ.003.BlockDiagram.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~7/11/2022|ReportField=Organization~|ReportField=ProjectName~PRJ_BLEspresso_2022-04_V0X.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~5|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PRJ_BLEspresso_2022-04_V0X.PrjPcb|ReportField=DataSourceFullPath~D:\02_WS\01_Altium_Git\BLEspresso_HW\PRJ_BLEspresso_2022-04_V0X.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|ANT400|CAP 0805|Generic|||2.38GHz, 2.4GHz, 2.6GHz Bluetooth, Wi-Fi, WiMax™, WLAN, Zigbee™ Chip RF Antenna 2.3GHz ~ 2.7GHz 2dBi, 2.5dBi, 2dBi Solder Surface Mount|1
2|C100, C107, C501|C0603C104K5RAC7867|KEMET|	0603B104K500CT|Walsin Technology Corporation|CAP CER 100 nF 50V X7R 0603|3
3|C101|VY1222M43Y5UC6UV0|Vishay Beyschlag/Draloric/BC Components|||CAP CER 2200PF 760VAC Y5U RADIAL|1
4|C102, C104, C105|GRM31CR71E106KA12L|Murata Electronics|C3216X7R1E106K160AE|TDK Corporation|CAP CER 10 uF 25V X7R 1206|3
5|C103, C106|865060543005|Würth Elektronik|||47 µF 35 V Aluminum Electrolytic Capacitors Radial, Can - SMD 2000 Hrs @ 105°C|2
6|C108|CGA3E2X7R2A223K080AA|TDK Corporation|C0603C223K1RACTU|KEMET|CAP CER 22 nF 100V X7R 0603|1
7|C400, C406, C408, C410|GRM155R71H104KE14D|Murata Electronics|C1005X7R1H104K050BE|TDK Corporation|CAP CER 0.1 uF 50V X7R 0402|4
8|C401|GCQ1555C1HR80CB01D|Murata Electronics|||0.8 pF ±0.25pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)|1
9|C402, C403|CAP 0402|Generic|||Generic CAP|2
10|C404, C502|CGA3E1X7R1C105K080AC|TDK Corporation|CL10B105MO8NNWC|Samsung Electro-Mechanics|CAP CER 1 uF 16V X7R 0603|2
11|C405, C407, C409|GCM1555C1H221FA16D|Murata Electronics|||220 pF ±1% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)|3
12|C411, C412|GCM1555C1H120FA16J|Murata Electronics|C0402C120J5GACTU|KEMET|CAP CER 12 pF 50V C0G/NP0 0402|2
13|C413|GCM21BR71C475KA73|Murata Electronics|CL21B475KOFNNNE|Samsung Electro-Mechanics|CAP CER 4.7 uF 16V X7R 0805|1
14|C414|CGA2B2C0G1H101J050BA|TDK|CGA2B2C0G1H101J050BA|Kemet|CAP CER 100 pF 50V C0G 0402|1
15|C500|GCM21BR72A104KA37L|Murata Electronics|CGA4J2X7R2A104K125AA|TDK Corporation|CAP CER 100 nF ±10% 100V Ceramic Capacitor X7R 0805|1
16|D100|150060VS75000|Würth Elektronik|||LED GREEN CLEAR 0603 SMD|1
17|D200, D201|BAS21,215|Nexperia USA Inc.|||Diode Standard 200 V 200mA (DC) Surface Mount SOT-23-3|2
18|D300, D301|150060RS75000|Würth Elektronik|||LED RED CLEAR 0603 SMD|2
19|IC400|NRF52832-QFAB-R7|Nordic Semiconductor ASA|||IC RF TXRX+MCU BLUETOOTH 48VFQFN|1
20|L100|SRN6045TA-560M|Bourns Inc.|||56 µH Semi-Shielded Wirewound Inductor 1.4 A 230mOhm Nonstandard|1
21|L400|MLG1005S3N9CTD25|TDK Corporation|||3.9 nH Unshielded Multilayer Inductor 700 mA 200mOhm Max 0402 (1005 Metric)|1
22|L401|MLZ2012N100LTD25|TDK Corporation|SMT||10 µH Shielded Multilayer Inductor 500 mA 300mOhm 0805 (2012 Metric)|1
23|L402|HK100515NJ-TV|Taiyo Yuden|SMT||15 nH Unshielded Multilayer Inductor 300 mA 460mOhm Max 0402 (1005 Metric)|1
